Date: 2013-05-10 Time: 15:14:52

Log statistics for channel: 0
Data frames: 10532
Error frames: 0
Overload frames: 0
Max bus load: 19%

Log statistics for channel: 1
Data frames: 0
Error frames: 0
Overload frames: 0
Max bus load: 0%

Log statistics for channel: 2
Data frames: 0
Error frames: 0
Overload frames: 0
Max bus load: 0%

Log statistics for channel: 3
Data frames: 0
Error frames: 0
Overload frames: 0
Max bus load: 0%

Ch	No	TIME	TYPE	ID	DLC	MSG
0	8750	8,0841	Std	211	6	[01, 03, 01, EB, 95, F8]
0	8751	8,0845	Std	8	1	[03]
0	8752	8,0848	Std	10	6	[00, 03, 01, EB, 9C, 3F]
0	8753	8,0853	Std	209	3	[03, FF, FF]
0	8754	8,0887	Std	281	4	[01, D7, A7, 5D]
0	8755	8,0888	Std	0	1	[55]
0	8756	8,0891	Std	211	6	[02, 03, 01, EB, 97, 4E]
0	8757	8,0895	Std	8	1	[03]
0	8758	8,0897	Std	10	6	[00, 03, 01, EB, 9D, 96]
0	8759	8,0937	Std	281	4	[01, D7, A7, 5D]
0	8760	8,0938	Std	0	1	[55]
0	8761	8,0941	Std	211	6	[01, 03, 01, EB, 98, A6]
0	8762	8,0946	Std	8	1	[03]
0	8763	8,0948	Std	10	6	[00, 03, 01, EB, 9E, ED]
0	8764	8,0987	Std	281	4	[01, D7, A7, 5D]
0	8765	8,0988	Std	0	1	[55]
0	8766	8,0991	Std	211	6	[02, 03, 01, EB, 99, FC]
0	8767	8,0995	Std	8	1	[03]
0	8768	8,0997	Std	10	6	[00, 03, 01, EB, A0, 44]
0	8769	8,1037	Std	281	4	[01, D7, A7, 5E]
0	8770	8,1038	Std	0	1	[55]
0	8771	8,1041	Std	211	6	[01, 03, 01, EB, 9B, 53]
0	8772	8,1045	Std	8	1	[03]
0	8773	8,1048	Std	10	6	[00, 03, 01, EB, A1, 9B]
0	8774	8,1057	Std	209	3	[03, FF, FF]
0	8775	8,1087	Std	281	4	[01, D7, A7, 5D]
0	8776	8,1088	Std	0	1	[55]
0	8777	8,1091	Std	211	6	[02, 03, 01, EB, 9C, AA]
0	8778	8,1095	Std	8	1	[03]
0	8779	8,1097	Std	10	6	[00, 03, 01, EB, A2, F3]
0	8780	8,1137	Std	281	4	[01, D7, A7, 5D]
0	8781	8,1138	Std	0	1	[55]
0	8782	8,1141	Std	211	6	[01, 03, 01, EB, 9E, 02]
0	8783	8,1146	Std	8	1	[03]
0	8784	8,1148	Std	10	6	[00, 03, 01, EB, A4, 4A]
0	8785	8,1187	Std	281	4	[01, D7, A7, 5D]
0	8786	8,1188	Std	0	1	[55]
0	8787	8,1191	Std	211	6	[02, 03, 01, EB, 9F, 58]
0	8788	8,1195	Std	8	1	[03]
0	8789	8,1197	Std	10	6	[00, 03, 01, EB, A5, A1]
0	8790	8,1237	Std	281	4	[01, D7, A7, 5D]
0	8791	8,1238	Std	0	1	[55]
0	8792	8,1241	Std	211	6	[01, 03, 01, EB, A0, B0]
0	8793	8,1245	Std	8	1	[03]
0	8794	8,1248	Std	10	6	[00, 03, 01, EB, A6, F8]
0	8795	8,1261	Std	209	3	[03, FF, FF]
0	8796	8,1287	Std	281	4	[01, D7, A7, 5E]
0	8797	8,1288	Std	0	1	[55]
0	8798	8,1291	Std	211	6	[02, 03, 01, EB, A2, 07]
0	8799	8,1295	Std	8	1	[03]
0	8800	8,1297	Std	10	6	[00, 03, 01, EB, A8, 50]
0	8801	8,1299	Std	410	4	[1D, 9D, 03, 55]
0	8802	8,1302	Std	411	4	[1D, 9D, 03, 55]
0	8803	8,1337	Std	281	4	[01, D7, A7, 5D]
0	8804	8,1338	Std	0	1	[55]
0	8805	8,1341	Std	211	6	[00, 03, 01, EB, A3, 60]
0	8806	8,1346	Std	8	1	[03]
0	8807	8,1348	Std	10	6	[00, 03, 01, EB, A9, A7]
0	8808	8,1387	Std	281	4	[01, D7, A7, 5D]
0	8809	8,1388	Std	0	1	[55]
0	8810	8,1391	Std	211	6	[01, 03, 01, EB, A4, B8]
0	8811	8,1395	Std	8	1	[03]
0	8812	8,1397	Std	10	6	[00, 03, 01, EB, AA, FE]
0	8813	8,1437	Std	281	4	[01, D7, A7, 5D]
0	8814	8,1438	Std	0	1	[55]
0	8815	8,1441	Std	211	6	[00, 03, 01, EB, A6, 0F]
0	8816	8,1445	Std	8	1	[03]
0	8817	8,1447	Std	10	6	[00, 03, 01, EB, AC, 55]
0	8818	8,1464	Std	209	3	[03, FF, FF]
0	8819	8,1487	Std	281	4	[01, D7, A7, 5D]
0	8820	8,1488	Std	0	1	[55]
0	8821	8,1491	Std	211	6	[02, 03, 01, EB, A7, 66]
0	8822	8,1495	Std	8	1	[03]
0	8823	8,1497	Std	10	6	[00, 03, 01, EB, AD, AC]
0	8824	8,1537	Std	281	4	[01, D7, A7, 5D]
0	8825	8,1538	Std	0	1	[55]
0	8826	8,1541	Std	211	6	[00, 03, 01, EB, A8, BE]
0	8827	8,1545	Std	8	1	[03]
0	8828	8,1548	Std	10	6	[00, 03, 01, EB, AF, 04]
0	8829	8,1587	Std	281	4	[01, D7, A7, 5D]
0	8830	8,1588	Std	0	1	[55]
0	8831	8,1591	Std	211	6	[02, 03, 01, EB, AA, 13]
0	8832	8,1595	Std	8	1	[03]
0	8833	8,1597	Std	10	6	[00, 03, 01, EB, B0, 5B]
0	8834	8,1637	Std	281	4	[01, D7, A7, 5D]
0	8835	8,1638	Std	0	1	[55]
0	8836	8,1641	Std	211	6	[01, 03, 01, EB, AB, 69]
0	8837	8,1645	Std	8	1	[03]
0	8838	8,1648	Std	10	6	[00, 03, 01, EB, B1, B2]
0	8839	8,1668	Std	209	3	[03, FF, FF]
0	8840	8,1687	Std	281	4	[01, D7, A7, 5D]
0	8841	8,1688	Std	0	1	[55]
0	8842	8,1691	Std	211	6	[02, 03, 01, EB, AC, BF]
0	8843	8,1695	Std	8	1	[03]
0	8844	8,1697	Std	10	6	[00, 03, 01, EB, B3, 09]
0	8845	8,1737	Std	281	4	[01, D7, A7, 5D]
0	8846	8,1738	Std	0	1	[55]
0	8847	8,1741	Std	211	6	[01, 03, 01, EB, AE, 18]
0	8848	8,1745	Std	8	1	[03]
0	8849	8,1747	Std	10	6	[00, 03, 01, EB, B4, 61]
0	8850	8,1787	Std	281	4	[01, D7, A7, 5D]
0	8851	8,1788	Std	0	1	[55]
0	8852	8,1791	Std	211	6	[02, 03, 01, EB, AF, 6E]
0	8853	8,1795	Std	8	1	[03]
0	8854	8,1797	Std	10	6	[00, 03, 01, EB, B5, B8]
0	8855	8,1837	Std	281	4	[01, D7, A7, 5D]
0	8856	8,1838	Std	0	1	[55]
0	8857	8,1841	Std	211	6	[01, 03, 01, EB, B0, C6]
0	8858	8,1845	Std	8	1	[03]
0	8859	8,1848	Std	10	6	[00, 03, 01, EB, B7, 0F]
0	8860	8,1872	Std	209	3	[03, FF, FF]
0	8861	8,1887	Std	281	4	[01, D7, A7, 5D]
0	8862	8,1888	Std	0	1	[55]
0	8863	8,1891	Std	211	6	[02, 03, 01, EB, B2, 1E]
0	8864	8,1895	Std	8	1	[03]
0	8865	8,1897	Std	10	6	[00, 03, 01, EB, B8, 66]
0	8866	8,1937	Std	281	4	[01, D7, A7, 5D]
0	8867	8,1938	Std	0	1	[55]
0	8868	8,1941	Std	211	6	[00, 03, 01, EB, B3, 77]
0	8869	8,1945	Std	8	1	[03]
0	8870	8,1948	Std	10	6	[00, 03, 01, EB, B9, BD]
0	8871	8,1987	Std	281	4	[01, D7, A7, 5D]
0	8872	8,1988	Std	0	1	[55]
0	8873	8,1991	Std	211	6	[02, 03, 01, EB, B4, CD]
0	8874	8,1995	Std	8	1	[03]
0	8875	8,1997	Std	10	6	[00, 03, 01, EB, BB, 15]
0	8876	8,2037	Std	281	4	[01, D7, A7, 5E]
0	8877	8,2038	Std	0	1	[55]
0	8878	8,2041	Std	211	6	[01, 03, 01, EB, B6, 24]
0	8879	8,2045	Std	8	1	[03]
0	8880	8,2047	Std	10	6	[00, 03, 01, EB, BC, 6C]
0	8881	8,2049	Std	408	4	[00, 63, 00, 17]
0	8882	8,2055	Std	409	4	[00, 17, 00, 2D]
0	8883	8,2077	Std	209	3	[03, FF, FF]
0	8884	8,2087	Std	281	4	[01, D7, A7, 5D]
0	8885	8,2088	Std	0	1	[55]
0	8886	8,2091	Std	211	6	[02, 03, 01, EB, B7, 7B]
0	8887	8,2095	Std	8	1	[03]
0	8888	8,2098	Std	10	6	[00, 03, 01, EB, BD, C3]
0	8889	8,2137	Std	281	4	[01, D7, A7, 5D]
0	8890	8,2138	Std	0	1	[55]
0	8891	8,2141	Std	211	6	[01, 03, 01, EB, B8, D2]
0	8892	8,2145	Std	8	1	[03]
0	8893	8,2148	Std	10	6	[00, 03, 01, EB, BF, 1A]
0	8894	8,2187	Std	281	4	[01, D7, A7, 5D]
0	8895	8,2188	Std	0	1	[55]
0	8896	8,2191	Std	211	6	[02, 03, 01, EB, BA, 28]
0	8897	8,2195	Std	8	1	[03]
0	8898	8,2197	Std	10	6	[00, 03, 01, EB, C0, 72]
0	8899	8,2237	Std	281	4	[01, D7, A7, 5D]
0	8900	8,2238	Std	0	1	[55]
0	8901	8,2241	Std	211	6	[01, 03, 01, EB, BB, 80]
0	8902	8,2245	Std	8	1	[03]
0	8903	8,2247	Std	10	6	[00, 03, 01, EB, C1, C9]
0	8904	8,2280	Std	209	3	[03, FF, FF]
0	8905	8,2287	Std	281	4	[01, D7, A7, 5D]
0	8906	8,2288	Std	0	1	[55]
0	8907	8,2291	Std	211	6	[02, 03, 01, EB, BC, D6]
0	8908	8,2295	Std	8	1	[03]
